,strategy,benchmark
2021-10-12,13683.44408006574,16331.530796620114
2021-10-13,13692.973566243527,16461.937095231
2021-10-14,13729.403881149605,16768.364022090413
2021-10-15,13749.249207605902,16835.663826383337
2021-10-18,13783.285144604244,16967.93897249812
2021-10-19,13834.824129808963,17136.258870666214
2021-10-20,13860.614291130743,17200.26203461913
2021-10-21,13846.778834546061,17267.71624557803
2021-10-22,13894.113071768268,17253.57023664818
2021-10-25,13946.00892085861,17327.573622398602
2021-10-26,14002.363190711632,17487.09516156354
2021-10-27,13947.13171122185,17432.8100980924
2021-10-28,13991.057728451058,17570.93471867978
2021-10-29,14049.528384641502,17733.596846829845
2021-11-01,14056.258256394862,17748.07939826748
2021-11-02,14102.937632592246,17925.794115928755
2021-11-03,14152.21145814663,18074.25401923965
2021-11-04,14238.305503322877,18504.485015556216
2021-11-05,14258.356314129676,18466.702503859087
2021-11-08,14346.141450121093,18712.249490872768
2021-11-09,14341.53899008509,18681.62352243565
2021-11-10,14201.317080409464,18343.996748206337
2021-11-11,14237.80711191762,18458.722030107634
2021-11-12,14268.896135276373,18598.30990513963
2021-11-15,14288.883067720417,18584.095286642387
2021-11-16,14347.761389344048,18782.195320396677
2021-11-17,14343.265301701676,18726.285367882334
2021-11-18,14362.551224796422,18935.31894085793
2021-11-19,14297.714896778925,18975.046556487345
2021-11-22,14268.856667707958,18779.2001652825
2021-11-23,14317.706920379049,18735.950020456065
2021-11-24,14389.056958960413,18901.930637782905
2021-11-26,14277.924804705082,18538.947454739056
2021-11-29,14384.761401109416,18984.20079152615
2021-11-30,14261.141097208947,18609.144090942755
2021-12-01,14175.256119738297,18264.544603321247
2021-12-02,14212.222880283021,18465.312948571453
2021-12-03,14144.60960245476,18180.86143410874
2021-12-06,14151.947191818319,18222.690432683936
2021-12-07,14297.025525645251,18775.90938574136
2021-12-08,14298.853002160919,18775.976314046246
2021-12-09,14248.624140951215,18565.268340701463
2021-12-10,14346.39855524557,18886.26326950217
2021-12-13,14280.751553433076,18626.42671003047
2021-12-14,14201.518782505831,18406.726193265644
2021-12-15,14343.927649126039,19061.673638125158
2021-12-16,14332.814000920116,18634.98070961176
2021-12-17,14226.723249135004,18379.830198947657
2021-12-20,14176.347036965726,18211.890378768847
2021-12-21,14223.223138671696,18562.46487055346
2021-12-22,14294.10681397812,18742.611842870392
2021-12-23,14344.068441818978,18884.726521799985
2021-12-27,14460.431385636019,19295.077616904124
2021-12-28,14426.211468099784,19157.87770897091
2021-12-29,14459.842704384318,19132.947693438917
