,strategy,benchmark
2022-10-04,14697.209768815823,14724.19518720506
2022-10-05,14745.59214249317,14823.933092994419
2022-10-06,14664.560131654018,14760.507720266336
2022-10-07,14170.415297451964,14273.09589991045
2022-10-10,13978.862605916473,14044.926017415346
2022-10-11,13941.045600800766,13963.829584482373
2022-10-12,13903.847707518891,13932.515612027595
2022-10-13,14329.137148701331,14349.073878570982
2022-10-14,13981.244544427665,14000.873280808744
2022-10-17,14313.117950887921,14330.619446119463
2022-10-18,14422.04171065643,14428.579784339307
2022-10-19,14405.241881218739,14418.413083067522
2022-10-20,14361.010845020544,14379.33098350109
2022-10-21,14686.467666452974,14727.090054783008
2022-10-24,14886.457914174764,14914.660164130986
2022-10-25,15151.89319764325,15152.834903305597
2022-10-26,15045.3267576218,15050.4061608079
2022-10-27,14896.74580639962,14908.832370658869
2022-10-28,15275.499662807242,15299.003964445223
2022-10-31,15130.48541509019,15189.482239078732
2022-11-01,15063.772067066226,15146.944875313631
2022-11-02,14704.089473465936,14757.080102934327
2022-11-03,14678.440781939309,14692.746349154128
2022-11-04,14908.26822080027,14937.211911162181
2022-11-07,15174.018639619122,15187.383273076697
2022-11-08,15294.172364697668,15299.18653689202
2022-11-09,14913.86664740539,14927.717383880557
2022-11-10,15848.619084288795,15830.612016134352
2022-11-11,16034.711519627697,16051.169492583367
2022-11-14,15999.385016299524,16015.507350295427
2022-11-15,16175.360946639423,16207.298247556964
2022-11-16,15941.388316399058,15962.24356298908
2022-11-17,15966.333959255968,15988.01072347268
2022-11-18,15962.026220838494,15991.737856888396
2022-11-21,15860.47810355917,15876.988039959719
2022-11-22,16161.914536821114,16200.539822692712
2022-11-23,16245.682198931334,16283.88570180596
2022-11-25,16216.327925819487,16248.336101329502
2022-11-28,15948.987528099204,15954.507772928366
2022-11-29,15871.611374023063,15887.847235763093
2022-11-30,16476.05059441771,16489.274840705515
2022-12-01,16467.324875719947,16481.996174360604
2022-12-02,16403.24226174219,16411.29903809925
2022-12-05,16135.4170850031,16129.559511112477
2022-12-06,15843.403581039083,15834.18749655003
2022-12-07,15835.626665192283,15824.928177505382
2022-12-08,16013.337621076396,16019.535857820068
2022-12-09,15837.419040304098,15840.939235170315
2022-12-12,16102.092522478968,16111.711158829608
2022-12-13,16292.75610306697,16284.746152199337
2022-12-14,16207.094840308679,16198.691000490902
2022-12-15,15779.130062543862,15774.305355162018
2022-12-16,15625.13603517612,15608.671873735253
2022-12-19,15489.207578353986,15484.489515447349
2022-12-20,15530.85370967226,15521.800593866898
2022-12-21,15813.16381166563,15797.993034502946
2022-12-22,15512.46012755516,15499.870631259084
2022-12-23,15609.474929188023,15601.116329552691
2022-12-27,15492.930864003061,15515.177195246308
2022-12-28,15314.235209471426,15331.213322512103
2022-12-29,15615.058825153194,15630.527546089177
2022-12-30,15598.79668256715,15620.538763765046
2023-01-03,15454.372743536385,15474.817323427029
2023-01-04,15523.079346331326,15588.844864542489
2023-01-05,15312.601411650887,15409.535156758855
2023-01-06,15651.217996369354,15729.344749470883
2023-01-09,15681.707155175138,15763.762503466543
2023-01-10,15814.47535998037,15926.26048578429
2023-01-11,15929.406795049947,16068.228338845849
2023-01-12,16007.440495567622,16157.297731433513
2023-01-13,16126.358216614237,16254.51138033216
2023-01-17,16153.595841492192,16264.308215939653
2023-01-18,15886.208156129998,16013.928762290347
2023-01-19,15783.228361389618,15903.859439337928
2023-01-20,16098.592691891301,16225.900802810167
2023-01-23,16358.871253142011,16515.666338624316
2023-01-24,16329.280069994154,16467.826631148146
2023-01-25,16239.724159510852,16380.190159709224
2023-01-26,16523.40270093367,16654.0823408676
2023-01-27,16491.670215772265,16605.587752376934
2023-01-30,16165.199710488023,16293.977472338092
2023-01-31,16382.534734711819,16522.649166412357
2023-02-01,16656.88019251499,16811.848786443014
2023-02-02,16921.780143405238,16995.26107417251
2023-02-03,16725.905228721174,16832.22486280949
2023-02-06,16589.375587465092,16684.248270750442
2023-02-07,16983.01259781315,17053.171521769735
2023-02-08,16735.922416613153,16789.73009039903
2023-02-09,16626.945586016456,16678.11308866053
2023-02-10,16596.887418243357,16687.186946596543
2023-02-13,16787.755203550943,16869.941501023848
2023-02-14,16879.876591871704,16934.85080828647
2023-02-15,16813.653109459057,16879.524634506448
2023-02-16,16480.78469274876,16570.179337432084
2023-02-17,16336.334667297493,16408.18883299475
2023-02-21,16068.534848998232,16137.734385192229
2023-02-22,16046.769263721215,16105.951386758934
2023-02-23,16390.493574400036,16425.754348354363
2023-02-24,16194.520128761022,16238.85654846494
2023-02-27,16240.69736230439,16269.8169898319
2023-02-28,16187.332928012507,16222.449857736707
2023-03-01,16174.507373413715,16214.306823853367
2023-03-02,16419.76436141378,16440.463888494116
2023-03-03,16760.633010771817,16757.789872293815
2023-03-06,16742.58791812074,16737.697683828406
2023-03-07,16523.8947010529,16507.29553680388
2023-03-08,16642.291217630143,16624.468756594495
2023-03-09,16390.452120699236,16374.373297805994
2023-03-10,16200.07316308759,16165.406182001907
2023-03-13,16264.909102423908,16215.895655906823
2023-03-14,16657.049696538495,16568.903865348162
2023-03-15,16597.704541958825,16449.702164590704
2023-03-16,17043.97829452046,16871.015252623507
2023-03-17,16937.13738349228,16764.57612607463
2023-03-20,17100.089600909032,16944.90944913994
2023-03-21,17275.964085041735,17136.59951473878
2023-03-22,17132.81540801762,16988.141059778616
2023-03-23,17320.89483617057,17156.742748868506
2023-03-24,17398.675297996433,17224.937001588725
2023-03-27,17307.620997285416,17170.519425915892
2023-03-28,17270.144171011387,17127.919570999602
2023-03-29,17462.174638396846,17332.09331832218
2023-03-30,17599.310172793077,17477.65055308864
2023-03-31,17807.95708747293,17686.316984922665
2023-04-03,17966.051578180362,17835.627180763557
2023-04-04,17908.177855580827,17764.79966922644
2023-04-05,17846.772819339065,17730.307803265303
2023-04-06,17912.129381727824,17773.94119603345
2023-04-10,17944.169312534723,17794.802112755555
2023-04-11,17832.711451539086,17711.69895591772
